Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 13/05/2026
Comparison Date: 06/05/2026
Total Yarding: 1252 (-299)
Commentary
"Light rain overnight and intermittent showers throughout the sale saw Singleton agents yard 1252 cattle, 300 head less than last week. Supplementary fed trade cattle making up to 568c/kg the highlight.

Fair supplies of light steer calves sold to slightly dearer rates making from 366c to 496c/kg, medium weights cheaper by 5c to 12c/kg and sold from 406c to 490c/kg. Light heifer calves saw a rise of 25c/kg trading from 310c to 388c/kg, B muscles out to 420c/kg and light trade calves to 430c/kg. Heavy trade calves around 400kg sold between 466c and 568c/kg. 

Heavy yearling steers over 400kg to the lot feeders 14c/kg dearer making from 430c to 468c/kg and same weight heifers traded between 380c and 424c/kg averaging 418c/kg. Heavy grown heifers and Bullocks to process 350c to 430c/kg.

Around 200 cows offered lighter types to process either side of firm 205c to 310c/kg, heavy cows with weight, shape and condition 9c to 24c/kg better off making between 302c and 368c/kg.

Market Operator Angus Barlow"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,330+,Feeder,C,3,1,NQ,380.0,380.0,380,NQ,717.0,717.0,717.0,1311.0,1311.0,1311
Vealer Heifer,330+,Processor,B,3,11,NC,466.0,484.0,474.72727272727275,23.3,847.3,880.0,863.1,1840.7,2081.2,1952.1726740056818
Vealer Heifer,330+,Restocker,B,3,9,NQ,400.0,402.0,400.6666666666667,NQ,730.9,740.7,737.5,1366.8,1420.0,1402.2667100694443
Vealer Heifer,330+,Restocker,C,3,1,-11,416.0,416.0,416,60.0,784.9,784.9,784.9,1456.0,1456.0,1456
Manufacturing Steer,0-540,Processor,D,2,5,-1,272.0,272.0,272,28.0,544.0,544.0,544.0,1319.2,1319.2,1319.2
Manufacturing Steer,0-540,Processor,D,3,4,NQ,304.0,304.0,304,NQ,646.8,646.8,646.8,1413.6,1413.6,1413.5999755859375
Grown Steer,500-600,Processor,C,3,9,-3,380.0,384.0,380.44444444444446,0.4,703.7,724.5,714.9,1919.0,2169.6,2022.844455295139
Grown Steer,600-750,Processor,C,3,2,NQ,410.0,410.0,410,NQ,759.3,759.3,759.3,2972.5,2972.5,2972.5
Grown Steer,750+,Processor,C,4,10,NQ,420.0,420.0,420,NQ,777.8,777.8,777.8,3423.0,3423.0,3423
Grown Heifer,0-540,Feeder,C,2,6,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1320.0,1320.0,1320
Grown Heifer,0-540,Feeder,C,3,14,NQ,304.0,380.0,357.07142857142856,NQ,573.6,730.8,679.4,1131.5,1828.3,1687.903573172433
Grown Heifer,0-540,Processor,C,2,3,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,1015.3,1015.3,1015.2999674479166
Grown Heifer,0-540,Processor,C,3,1,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1944.0,1944.0,1944
Grown Heifer,0-540,Processor,D,2,6,4,240.0,240.0,240,-60.0,510.6,510.6,510.6,1116.0,1116.0,1116
Grown Heifer,540+,Processor,C,3,4,NQ,430.0,430.0,430,NQ,811.3,811.3,811.3,2343.5,2343.5,2343.5
Grown Heifer,540+,Processor,D,4,1,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,2135.0,2135.0,2135
Cows,400-520,Processor,D,2,73,13,205.0,310.0,248.05479452054794,-3.3,445.7,645.8,527.8,912.3,1503.5,1188.890410958904
Cows,400-520,Processor,D,3,20,-15,270.0,340.0,305.2,9.9,551.0,708.3,620.3,1156.2,1700.0,1504.5099853515626
Cows,400-520,Restocker,D,2,30,-13,72.0,290.0,169.8,-24.2,160.0,617.0,368.2,306.0,1435.5,808.8166666666667
Cows,520+,Processor,C,3,21,NQ,350.0,362.0,359.5238095238095,NQ,680.8,729.2,694.1,2000.1,2250.0,2205.4095517113096
Cows,520+,Processor,C,4,4,-3,360.0,360.0,360,9.7,679.2,679.2,679.2,2610.0,2610.0,2610
Cows,520+,Processor,D,2,8,-48,240.0,290.0,277.5,17.3,510.6,617.0,582.4,1320.0,1595.0,1508.125
Cows,520+,Processor,D,3,40,-67,302.0,352.0,331.55,14.1,629.2,704.0,671.2,1705.0,2288.0,1950.1924926757813
Cows,520+,Processor,D,4,12,-40,340.0,368.0,356.3333333333333,23.9,666.7,708.0,690.8,1918.4,2355.2,2160.9249674479165
Bulls,450-600,Processor,C,2,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1503.5,1503.5,1503.5
Bulls,600+,Processor,B,3,1,NC,374.0,374.0,374,4.0,667.9,667.9,667.9,2674.1,2674.1,2674.10009765625
Bulls,600+,Processor,C,2,1,NC,266.0,266.0,266,46.0,532.0,532.0,532.0,1662.5,1662.5,1662.5
