Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 03/06/2026
Comparison Date: 27/05/2026
Total Yarding: 1486 (+389)
Commentary
"Numbers were up by nearly 400 head which saw Singleton agents pen 1486 cattle, quality was very good, as were the prices. 

Big runs of steer and heifer calves saw buyers able to secure numbers and resulted in light steer calves improving by 21c/kg making from 405c to 620c/kg with medium and heavy weights over 330kg to both restock and feed sell between 480c and 586c/kg. Numbers of heifer calves nearly doubled their steer counterparts to be 30c/kg dearer selling from 350c to 514c/kg averaging around 490c/kg.

There were some exceptional supplementary fed B muscle steer and heifer calves and attracted strong competition from the trade buyers to be 26c/kg dearer making from 554c to 578c/kg. Quality related rises in medium and heavy yearling steers to feed on and sold between 410c and 538c/kg. Too few yearling heifers to gain a reliable trend but the heavy weights over 400kg to the lot feeders topped at 536c/kg.

Just on 200 cows were offered, lighter 2 scores sold from 240c to 345c/kg, the 3 and 4 score heavy weight cows held firm to 2c/kg dearer and traded from 350c to 420c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,330+,Feeder,C,3,26,NQ,482.0,510.0,495.2307692307692,NQ,909.4,962.3,927.8,1690.5,1711.1,1702.3384540264424
Vealer Heifer,330+,Processor,B,3,14,8,554.0,578.0,564.4285714285714,26.4,989.3,1014.0,996.4,2022.1,2774.4,2240.0071149553573
Manufacturing Steer,0-540,Restocker,D,2,10,NQ,302.0,326.0,309.2,NQ,642.6,679.2,653.5,1026.8,1108.4,1051.280078125
Grown Steer,0-400,Feeder,C,2,4,3,498.0,498.0,498,134.0,957.7,957.7,957.7,1842.6,1842.6,1842.5999755859375
Grown Steer,0-400,Restocker,C,2,2,NQ,394.0,394.0,394,NQ,757.7,757.7,757.7,1418.4,1418.4,1418.4000244140625
Grown Steer,400-500,Feeder,C,2,9,NQ,448.0,490.0,485.3333333333333,NQ,861.5,942.3,933.3,1971.2,2082.5,2070.1333279079863
Grown Steer,500-600,Feeder,C,3,5,NQ,470.0,470.0,470,NQ,886.8,886.8,886.8,2514.5,2514.5,2514.5
Grown Heifer,0-540,Feeder,C,3,3,1,414.0,466.0,445,65.0,781.1,879.2,839.6,1925.1,2260.1,2130.6500244140625
Grown Heifer,0-540,Feeder,D,2,7,NQ,408.0,408.0,408,NQ,832.7,832.7,832.7,1693.2,1693.2,1693.199916294643
Grown Heifer,0-540,Processor,C,3,2,1,350.0,402.0,376,6.0,673.1,758.5,715.8,1697.5,1869.3,1783.4000244140625
Grown Heifer,0-540,Restocker,D,2,20,NQ,348.0,348.0,348,NQ,710.2,710.2,710.2,1444.2,1444.2,1444.2
Grown Heifer,540+,Processor,C,3,20,NQ,422.0,428.0,425.9,NQ,796.2,807.5,803.6,2299.9,2328.3,2318.37294921875
Cows,400-520,Processor,C,3,4,NQ,385.0,390.0,386.25,NQ,764.7,802.1,792.7,1790.3,1969.5,1835.0625
Cows,400-520,Processor,D,2,36,10,270.0,345.0,320.19444444444446,48.0,574.5,734.0,681.6,1134.0,1673.3,1542.5291612413193
Cows,400-520,Processor,D,3,19,-5,340.0,385.0,364.8421052631579,9.1,693.9,802.1,757.7,1670.4,1982.8,1863.342105263158
Cows,400-520,Restocker,D,2,16,-10,240.0,338.0,314.75,-4.5,521.7,734.8,683.5,1056.0,1554.8,1438.03759765625
Cows,520+,Processor,D,3,98,51,350.0,410.0,385.92857142857144,1.9,729.2,836.7,791.5,1899.3,2624.0,2244.7770647321427
Cows,520+,Processor,D,4,28,NQ,416.0,420.0,417.2857142857143,NQ,815.7,823.5,818.2,2600.0,3066.0,2691.785714285714
Cows,520+,Restocker,D,2,10,NQ,318.0,318.0,318,NQ,691.3,691.3,691.3,1701.3,1701.3,1701.3
Bulls,0-450,Restocker,C,2,4,-6,328.0,330.0,329.5,-50.5,622.6,630.8,624.7,1369.5,1410.4,1379.7250061035156
Bulls,450-600,Processor,B,3,1,NC,410.0,410.0,410,25.0,706.9,706.9,706.9,2255.0,2255.0,2255
Bulls,450-600,Processor,C,2,1,-8,350.0,350.0,350,28.0,660.4,660.4,660.4,1662.5,1662.5,1662.5
Bulls,450-600,Processor,C,4,1,NQ,385.0,385.0,385,NQ,700.0,700.0,700.0,2175.3,2175.3,2175.25
Bulls,600+,Processor,C,4,2,1,398.0,398.0,398,48.0,723.6,723.6,723.6,2726.3,2726.3,2726.300048828125
