Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 27/05/2026
Comparison Date: 20/05/2026
Total Yarding: 1097 (+217)
Commentary
"With the rain yet to hit the drawing area numbers were up by 200 head as Singleton agents penned 1097 cattle. The magical $6 mark was broken through for steer calves as the $5 mark was broken through for heifer calves on a day where commission buyers had fistfuls of new orders following the rain event statewide.

Under 200kg steer calves up to 100c/kg dearer 570c to 612c/kg, next level up to 62c/kg better off making from 472c to 598c/kg averaging 567c/kg. Light heifer calves sold 50c/kg dearer 434c to 544c/kg with local trade calves making from 450c to 538c/kg. 

The few medium and heavy weight feeder yearling steers sold in a range of 388c to 502c/kg, same article in the yearling heifers made from 332c to 466c/kg with the over 400kg heavy weights averaging around 455c/kg.

Heavy steers and Bullocks to process made from 398c to 480c/kg. Heavy grown heifers 378c to 420c/kg. Despite a southern processor not operating the 150 cows rallied with light 2 scores selling between 240c and 340c/kg, heavy 3 and 4 scores improved 26c/kg trading between 350c and 411c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,0-540,Processor,D,2,3,NQ,322.0,322.0,322,NQ,670.8,670.8,670.8,966.0,966.0,966
Grown Steer,,Processor,C,4,1,NQ,398.0,398.0,398,NQ,737.0,737.0,737.0,3960.1,3960.1,3960.10009765625
Grown Steer,0-400,Feeder,C,2,1,NQ,364.0,364.0,364,NQ,700.0,700.0,700.0,1346.8,1346.8,1346.800048828125
Grown Steer,500-600,Processor,C,3,6,NQ,446.0,446.0,446,NQ,841.5,841.5,841.5,2519.9,2519.9,2519.89990234375
Grown Steer,500-600,Processor,C,4,16,NQ,480.0,480.0,480,NQ,888.9,888.9,888.9,2712.0,2712.0,2712
Grown Heifer,0-540,Feeder,C,2,12,NQ,350.0,350.0,350,NQ,714.3,714.3,714.3,1277.5,1277.5,1277.5
Grown Heifer,0-540,Feeder,C,3,2,NQ,380.0,380.0,380,NQ,730.8,730.8,730.8,1843.0,1843.0,1843
Grown Heifer,0-540,Processor,C,3,1,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,1850.0,1850.0,1850
Grown Heifer,0-540,Processor,D,3,1,NQ,390.0,390.0,390,NQ,750.0,750.0,750.0,1891.5,1891.5,1891.5
Grown Heifer,540+,Processor,C,4,2,NQ,410.0,420.0,415,NQ,759.3,777.8,768.5,2234.5,2373.0,2303.75
Grown Heifer,540+,Processor,D,3,7,NQ,378.0,390.0,381.42857142857144,NQ,726.9,750.0,733.5,2060.1,2125.5,2078.785714285714
Cows,400-520,Processor,D,2,26,19,240.0,340.0,272.2307692307692,3.7,510.6,723.4,583.3,1080.0,1649.0,1241.8230919471155
Cows,400-520,Processor,D,3,24,-4,340.0,370.0,355.75,5.6,708.3,770.8,744.3,1581.0,1905.5,1784.1666666666667
Cows,400-520,Restocker,D,2,26,-14,318.0,320.0,319.2307692307692,75.2,676.6,680.9,679.2,1590.0,1600.0,1596.1538461538462
Cows,520+,Processor,C,4,1,-1,410.0,410.0,410,30.0,788.5,788.5,788.5,2521.5,2521.5,2521.5
Cows,520+,Processor,D,3,47,11,350.0,400.0,384.02127659574467,26.3,729.2,804.2,782.1,1872.5,2580.2,2339.95954797623
Bulls,0-450,Restocker,B,3,1,-3,376.0,376.0,376,-24.0,671.4,671.4,671.4,1692.0,1692.0,1692
Bulls,0-450,Restocker,C,2,10,NQ,380.0,380.0,380,NQ,717.0,717.0,717.0,1615.0,1615.0,1615
Bulls,450-600,Processor,B,3,1,NQ,385.0,385.0,385,NQ,687.5,687.5,687.5,2040.5,2040.5,2040.5
Bulls,450-600,Processor,C,2,9,6,322.0,322.0,322,8.7,631.4,631.4,631.4,1497.3,1497.3,1497.300021701389
Bulls,450-600,Processor,C,3,1,NQ,374.0,374.0,374,NQ,705.7,705.7,705.7,2057.0,2057.0,2057
Bulls,600+,Processor,B,3,1,NC,390.0,390.0,390,12.0,696.4,696.4,696.4,2398.5,2398.5,2398.5
Bulls,600+,Processor,B,4,1,NC,422.0,422.0,422,28.0,727.6,727.6,727.6,2890.7,2890.7,2890.699951171875
Bulls,600+,Processor,C,2,2,NQ,316.0,356.0,336,NQ,596.2,659.3,627.7,2227.8,2260.6,2244.2000732421875
Bulls,600+,Processor,C,4,1,NQ,350.0,350.0,350,NQ,636.4,636.4,636.4,2957.5,2957.5,2957.5
